book	status2	status	PARAGON	tok_length		ParagonURI	local_path
0616BurhanDinBukhari.MuhitBurhani	pri	pri	z	1914490		z	../data/0616BurhanDinBukhari/0616BurhanDinBukhari.MuhitBurhani/0616BurhanDinBukhari.MuhitBurhani.ShamAY0034208-ara1
1411MuhammadTahirBarnaji.SahihWaDacifTarikhTabari	pri	pri	z	1893127		z	../data/1411MuhammadTahirBarnaji/1411MuhammadTahirBarnaji.SahihWaDacifTarikhTabari/1411MuhammadTahirBarnaji.SahihWaDacifTarikhTabari.Sham19Y0145435-ara1
0852IbnHajarCasqalani.IthafMahara	pri	pri	z	1885566		z	../data/0852IbnHajarCasqalani/0852IbnHajarCasqalani.IthafMahara/0852IbnHajarCasqalani.IthafMahara.Shamela0026324-ara1
1244AhmadNaraqi.MustanadShica	pri	pri	z	1881763		z	../data/1244AhmadNaraqi/1244AhmadNaraqi.MustanadShica/1244AhmadNaraqi.MustanadShica.Shia000298Vols-ara1
1431MuhammadSayyidTantawi.TafsirWasit	pri	pri	z	1877872		z	../data/1431MuhammadSayyidTantawi/1431MuhammadSayyidTantawi.TafsirWasit/1431MuhammadSayyidTantawi.TafsirWasit.Sham19Y0023590-ara1
1450DarIftaMisriyya.FatawaDarIfta	pri	pri	z	1866116		z	../data/1450DarIftaMisriyya/1450DarIftaMisriyya.FatawaDarIfta/1450DarIftaMisriyya.FatawaDarIfta.Shamela0000432-ara1
0463KhatibBaghdadi.TarikhBaghdad	pri	pri	z	1863788		z	../data/0463KhatibBaghdadi/0463KhatibBaghdadi.TarikhBaghdad/0463KhatibBaghdadi.TarikhBaghdad.Shamela0000736-ara2.mARkdown
0942IbnYusufShami.SubulHuda	pri	pri	z	1849142		z	../data/0942IbnYusufShami/0942IbnYusufShami.SubulHuda/0942IbnYusufShami.SubulHuda.Shia003732Vols-ara1
1081MuhammadSalihMazandarani.SharhUsulKafi	pri	pri	z	1847218		z	../data/1081MuhammadSalihMazandarani/1081MuhammadSalihMazandarani.SharhUsulKafi/1081MuhammadSalihMazandarani.SharhUsulKafi.Shia001174Vols-ara1
0885BurhanDinBiqaci.NazmDurar	pri	pri	z	1838436		z	../data/0885BurhanDinBiqaci/0885BurhanDinBiqaci.NazmDurar/0885BurhanDinBiqaci.NazmDurar.ShamAY0034073-ara1
0638IbnCarabi.FutuhatMakkiyya	pri	pri	varia: tasawwuf	1826396		sufi texts	../data/0638IbnCarabi/0638IbnCarabi.FutuhatMakkiyya/0638IbnCarabi.FutuhatMakkiyya.JK009237-ara1
1099CabdBaqiZurqani.SharhCalaMukhtasarKhalil	pri	pri	z	1815835		z	../data/1099CabdBaqiZurqani/1099CabdBaqiZurqani.SharhCalaMukhtasarKhalil/1099CabdBaqiZurqani.SharhCalaMukhtasarKhalil.Sham19Y0014297-ara1
